GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
82	1.420753e+01	2.306875e+01	3.537756e-03	-2.495853e-03	-3.386541e-04	-8.545812e-05	1.633413e-06	-2.362495e-06	5.611821e+01	7.849340e+00	3.683846e-01	-2.999201e-01	4.844601e-02	-2.633278e+01
83	1.433252e+01	2.323750e+01	3.537756e-03	-2.495853e-03	-3.386541e-04	-8.545812e-05	1.633413e-06	-2.362494e-06	5.611821e+01	7.849340e+00	3.683847e-01	-2.999201e-01	4.844601e-02	-2.633278e+01
84	1.433252e+01	2.306875e+01	3.537756e-03	-2.495853e-03	-3.386541e-04	-8.545812e-05	1.633413e-06	-2.362495e-06	5.611821e+01	7.849340e+00	3.683846e-01	-2.999201e-01	4.844601e-02	-2.633278e+01
85	1.404087e+01	2.329375e+01	3.537756e-03	-2.721947e-03	-3.386903e-04	8.177904e-05	2.217043e-06	-3.080076e-06	4.987424e+01	-2.033837e-01	-3.666330e-01	2.851181e-01	-3.312987e-02	-2.061711e+01
86	1.391588e+01	2.312500e+01	3.537756e-03	-2.721947e-03	-3.386903e-04	8.177904e-05	2.217043e-06	-3.080077e-06	4.987424e+01	-2.033844e-01	-3.666331e-01	2.851181e-01	-3.312987e-02	-2.061711e+01
87	1.391588e+01	2.329375e+01	3.537756e-03	-2.721947e-03	-3.386903e-04	8.177904e-05	2.217043e-06	-3.080076e-06	4.987424e+01	-2.033837e-01	-3.666330e-01	2.851181e-01	-3.312987e-02	-2.061711e+01
88	1.395754e+01	2.306875e+01	3.537756e-03	-2.495842e-03	-3.386703e-04	-8.572410e-05	1.906022e-06	-2.660175e-06	5.612601e+01	7.857234e+00	3.684210e-01	-3.009874e-01	4.953313e-02	-2.634137e+01
89	1.408253e+01	2.323750e+01	3.537756e-03	-2.495842e-03	-3.386703e-04	-8.572410e-05	1.906022e-06	-2.660174e-06	5.612601e+01	7.857234e+00	3.684210e-01	-3.009874e-01	4.953313e-02	-2.634137e+01
90	1.408253e+01	2.306875e+01	3.537756e-03	-2.495842e-03	-3.386703e-04	-8.572410e-05	1.906022e-06	-2.660175e-06	5.612601e+01	7.857234e+00	3.684210e-01	-3.009874e-01	4.953313e-02	-2.634137e+01
91	1.379088e+01	2.329375e+01	3.537756e-03	-2.721880e-03	-3.387144e-04	8.144476e-05	2.571103e-06	-3.486566e-06	4.988635e+01	-1.907383e-01	-3.664303e-01	2.837711e-01	-3.172352e-02	-2.063018e+01
92	1.366589e+01	2.312500e+01	3.537756e-03	-2.721880e-03	-3.387144e-04	8.144476e-05	2.571103e-06	-3.486566e-06	4.988634e+01	-1.907389e-01	-3.664304e-01	2.837711e-01	-3.172352e-02	-2.063018e+01
93	1.366589e+01	2.329375e+01	3.537756e-03	-2.721880e-03	-3.387144e-04	8.144476e-05	2.571103e-06	-3.486566e-06	4.988635e+01	-1.907383e-01	-3.664303e-01	2.837711e-01	-3.172352e-02	-2.063018e+01
94	1.370756e+01	2.306875e+01	3.537756e-03	-2.495830e-03	-3.386903e-04	-8.602311e-05	2.217043e-06	-3.008560e-06	5.613511e+01	7.866420e+00	3.684503e-01	-3.021894e-01	5.077120e-02	-2.635140e+01
95	1.383255e+01	2.323750e+01	3.537756e-03	-2.495830e-03	-3.386903e-04	-8.602311e-05	2.217043e-06	-3.008559e-06	5.613511e+01	7.866420e+00	3.684503e-01	-3.021894e-01	5.077120e-02	-2.635140e+01
96	1.383255e+01	2.306875e+01	3.537756e-03	-2.495830e-03	-3.386903e-04	-8.602311e-05	2.217043e-06	-3.008560e-06	5.613511e+01	7.866420e+00	3.684503e-01	-3.021894e-01	5.077120e-02	-2.635140e+01
97	1.354090e+01	2.329375e+01	3.537756e-03	-2.721803e-03	-3.387440e-04	8.107056e-05	2.973307e-06	-3.959342e-06	4.990037e+01	-1.761027e-01	-3.662151e-01	2.822603e-01	-3.012871e-02	-2.064533e+01
98	1.341591e+01	2.312500e+01	3.537756e-03	-2.721803e-03	-3.387440e-04	8.107056e-05	2.973307e-06	-3.959343e-06	4.990037e+01	-1.761034e-01	-3.662152e-01	2.822603e-01	-3.012871e-02	-2.064533e+01
99	1.341591e+01	2.329375e+01	3.537756e-03	-2.721803e-03	-3.387440e-04	8.107056e-05	2.973307e-06	-3.959342e-06	4.990037e+01	-1.761027e-01	-3.662151e-01	2.822603e-01	-3.012871e-02	-2.064533e+01
100	1.345757e+01	2.306875e+01	3.537756e-03	-2.495819e-03	-3.387144e-04	-8.635590e-05	2.571103e-06	-3.416337e-06	5.614569e+01	7.877097e+00	3.684713e-01	-3.035312e-01	5.217681e-02	-2.636308e+01
101	1.358256e+01	2.323750e+01	3.537756e-03	-2.495819e-03	-3.387144e-04	-8.635590e-05	2.571103e-06	-3.416336e-06	5.614569e+01	7.877098e+00	3.684714e-01	-3.035312e-01	5.217681e-02	-2.636308e+01
102	1.358256e+01	2.306875e+01	3.537756e-03	-2.495819e-03	-3.387144e-04	-8.635590e-05	2.571103e-06	-3.416337e-06	5.614569e+01	7.877097e+00	3.684713e-01	-3.035312e-01	5.217681e-02	-2.636308e+01
103	1.329091e+01	2.329375e+01	3.537756e-03	-2.721719e-03	-3.387794e-04	8.065783e-05	3.429647e-06	-4.510003e-06	4.991655e+01	-1.592498e-01	-3.659890e-01	2.805876e-01	-2.832515e-02	-2.066284e+01
104	1.316592e+01	2.312500e+01	3.537756e-03	-2.721719e-03	-3.387794e-04	8.065783e-05	3.429647e-06	-4.510004e-06	4.991655e+01	-1.592505e-01	-3.659891e-01	2.805876e-01	-2.832515e-02	-2.066284e+01
105	1.316592e+01	2.329375e+01	3.537756e-03	-2.721719e-03	-3.387794e-04	8.065783e-05	3.429647e-06	-4.510003e-06	4.991655e+01	-1.592498e-01	-3.659890e-01	2.805876e-01	-2.832515e-02	-2.066284e+01
106	1.320758e+01	2.306875e+01	3.537756e-03	-2.495808e-03	-3.387440e-04	-8.672182e-05	2.973307e-06	-3.893911e-06	5.615800e+01	7.889488e+00	3.684734e-01	-3.050130e-01	5.376749e-02	-2.637668e+01
107	1.333258e+01	2.323750e+01	3.537756e-03	-2.495808e-03	-3.387440e-04	-8.672182e-05	2.973307e-06	-3.893910e-06	5.615800e+01	7.889489e+00	3.684735e-01	-3.050130e-01	5.376749e-02	-2.637668e+01
108	1.333258e+01	2.306875e+01	3.537756e-03	-2.495808e-03	-3.387440e-04	-8.672182e-05	2.973307e-06	-3.893911e-06	5.615800e+01	7.889488e+00	3.684734e-01	-3.050130e-01	5.376749e-02	-2.637668e+01
109	1.304093e+01	2.329375e+01	3.537756e-03	-2.721632e-03	-3.388197e-04	8.020977e-05	3.948246e-06	-5.153852e-06	4.993515e+01	-1.399608e-01	-3.657543e-01	2.787601e-01	-2.628602e-02	-2.068301e+01
110	1.291593e+01	2.312500e+01	3.537756e-03	-2.721632e-03	-3.388197e-04	8.020977e-05	3.948246e-06	-5.153853e-06	4.993514e+01	-1.399614e-01	-3.657544e-01	2.787601e-01	-2.628602e-02	-2.068301e+01
111	1.291593e+01	2.329375e+01	3.537756e-03	-2.721632e-03	-3.388197e-04	8.020977e-05	3.948246e-06	-5.153852e-06	4.993515e+01	-1.399608e-01	-3.657543e-01	2.787601e-01	-2.628602e-02	-2.068301e+01
