# per-element PLATE REACTION FORCES from the RM shell beam model (Timo), eta=0.20
# elem  y2(m) y3(m)  e11 e22 2e12 k11 k22 2k12  N11 N22 N12(N/m) M11 M22 M12(N)
    93 -1.909501e+00  9.393082e-01 -1.793176e-03  8.584588e-04 -6.759696e-04  1.494364e-03 -6.875517e-04 -1.556651e-03 -3.256784e+05 -3.421044e+00 -3.649189e+04  3.874938e+02 -1.638618e+01 -1.003879e+02
    94 -1.966846e+00  8.979684e-01 -1.729020e-03  8.277423e-04 -6.699965e-04  1.483058e-03 -6.795693e-04 -1.549762e-03 -3.140272e+05 -3.203843e+00 -3.616936e+04  3.839214e+02 -1.515368e+01 -9.997939e+01
    95 -2.022193e+00  8.542436e-01 -1.660449e-03  7.949273e-04 -6.943229e-04  1.409263e-03 -6.413432e-04 -1.599648e-03 -3.015722e+05 -1.870902e+00 -3.748268e+04  3.654633e+02 -1.391486e+01 -1.031646e+02
    96 -2.074908e+00  8.074772e-01 -1.586237e-03  7.594022e-04 -6.901744e-04  1.369472e-03 -6.201586e-04 -1.595472e-03 -2.880939e+05 -1.202846e+00 -3.725866e+04  3.549225e+02 -1.266897e+01 -1.029233e+02
    97 -2.125217e+00  7.581943e-01 -1.507327e-03  7.216339e-04 -7.120136e-04  1.300759e-03 -5.851900e-04 -1.635137e-03 -2.737617e+05 -1.154194e-01 -3.843777e+04  3.374304e+02 -1.142004e+01 -1.054259e+02
    98 -2.172498e+00  7.061356e-01 -1.423184e-03  6.813589e-04 -7.076873e-04  1.234807e-03 -5.520008e-04 -1.617363e-03 -2.584793e+05  8.626283e-01 -3.820431e+04  3.204683e+02 -1.017230e+01 -1.042389e+02
    99 -2.216821e+00  6.515783e-01 -1.334301e-03  6.388140e-04 -7.284548e-04  1.164998e-03 -5.173328e-04 -1.632268e-03 -2.423359e+05  1.839460e+00 -3.932583e+04  3.024812e+02 -8.928477e+00 -1.050286e+02
   100 -2.257686e+00  5.945363e-01 -1.240634e-03  5.939816e-04 -7.227138e-04  1.077066e-03 -4.742506e-04 -1.573194e-03 -2.253233e+05  2.997559e+00 -3.901645e+04  2.800890e+02 -7.694854e+00 -1.009799e+02
   101 -2.294988e+00  5.351244e-01 -1.142368e-03  5.469448e-04 -7.430705e-04  9.983911e-04 -4.361466e-04 -1.523993e-03 -2.074758e+05  3.974852e+00 -4.011655e+04  2.597731e+02 -6.474192e+00 -9.730620e+01
   102 -2.328522e+00  4.736173e-01 -1.039954e-03  4.979246e-04 -7.355828e-04  9.007118e-04 -3.892012e-04 -1.361842e-03 -1.888745e+05  5.120930e+00 -3.971407e+04  2.348544e+02 -5.272535e+00 -8.609386e+01
