GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
63	1.491582e+01	2.329375e+01	2.339375e-01	-2.115842e-01	-1.238746e-02	1.454040e-02	-3.343889e-03	-3.595317e-03	2.541547e+03	-1.022627e+03	-3.604584e+01	5.256333e+01	-1.897381e+01	-6.615582e+02
64	1.495748e+01	2.306875e+01	2.316875e-01	-1.853109e-01	-1.251823e-02	-4.743667e-03	-3.888509e-03	-2.860039e-03	3.169833e+03	-1.661545e+02	4.053079e+01	-1.465858e+01	-1.123795e+01	-1.250376e+03
65	1.508248e+01	2.323750e+01	2.333750e-01	-1.853109e-01	-1.251823e-02	-4.743667e-03	-3.888509e-03	-2.860039e-03	3.230071e+03	-1.194165e+02	4.601693e+01	-1.465858e+01	-1.123795e+01	-1.293186e+03
66	1.508248e+01	2.306875e+01	2.316875e-01	-1.853109e-01	-1.251823e-02	-4.743667e-03	-3.888509e-03	-2.860039e-03	3.169833e+03	-1.661545e+02	4.053079e+01	-1.465858e+01	-1.123795e+01	-1.250376e+03
67	1.479083e+01	2.329375e+01	2.339375e-01	-2.120970e-01	-1.229991e-02	1.362486e-02	-2.848839e-03	-3.324370e-03	2.520757e+03	-1.047519e+03	-3.706396e+01	4.911144e+01	-1.678337e+01	-6.410184e+02
68	1.466583e+01	2.312500e+01	2.322500e-01	-2.120970e-01	-1.229991e-02	1.362486e-02	-2.848839e-03	-3.324370e-03	2.460519e+03	-1.094257e+03	-4.255010e+01	4.911144e+01	-1.678337e+01	-5.982089e+02
69	1.466583e+01	2.329375e+01	2.339375e-01	-2.120970e-01	-1.229991e-02	1.362486e-02	-2.848839e-03	-3.324370e-03	2.520757e+03	-1.047519e+03	-3.706396e+01	4.911144e+01	-1.678337e+01	-6.410184e+02
70	1.470750e+01	2.306875e+01	2.316875e-01	-1.855851e-01	-1.238746e-02	-5.894223e-03	-3.343889e-03	-2.656015e-03	3.157488e+03	-1.806932e+02	4.070615e+01	-1.895784e+01	-8.756500e+00	-1.237780e+03
71	1.483249e+01	2.323750e+01	2.333750e-01	-1.855851e-01	-1.238746e-02	-5.894223e-03	-3.343889e-03	-2.656015e-03	3.217726e+03	-1.339552e+02	4.619229e+01	-1.895784e+01	-8.756500e+00	-1.280589e+03
72	1.483249e+01	2.306875e+01	2.316875e-01	-1.855851e-01	-1.238746e-02	-5.894223e-03	-3.343889e-03	-2.656015e-03	3.157488e+03	-1.806932e+02	4.070615e+01	-1.895784e+01	-8.756500e+00	-1.237780e+03
73	1.454084e+01	2.329375e+01	2.339375e-01	-2.124420e-01	-1.223986e-02	1.290970e-02	-2.414476e-03	-3.017124e-03	2.503601e+03	-1.067436e+03	-3.779998e+01	4.639120e+01	-1.490552e+01	-6.237037e+02
74	1.441585e+01	2.312500e+01	2.322500e-01	-2.124420e-01	-1.223986e-02	1.290970e-02	-2.414476e-03	-3.017124e-03	2.443363e+03	-1.114174e+03	-4.328613e+01	4.639120e+01	-1.490552e+01	-5.808941e+02
75	1.441585e+01	2.329375e+01	2.339375e-01	-2.124420e-01	-1.223986e-02	1.290970e-02	-2.414476e-03	-3.017124e-03	2.503601e+03	-1.067436e+03	-3.779998e+01	4.639120e+01	-1.490552e+01	-6.237037e+02
76	1.445751e+01	2.306875e+01	2.316875e-01	-1.857822e-01	-1.229991e-02	-6.756147e-03	-2.848839e-03	-2.430701e-03	3.146599e+03	-1.931590e+02	4.073650e+01	-2.222210e+01	-6.592863e+00	-1.226524e+03
